time,voltage,pressed
0.1682376,5,0
0.5297932,5,0
0.6981898,5,0
0.8695463,5,0
1.0407114,5,0
1.2604095,5,0
1.4781858,5,0
1.6506733,5,0
1.8233079,5,0
2.0447442,5,0
2.2622098,5,0
2.434734,5,0
2.6074797,5,0
2.7798614,5,0
2.9504368,5,0
3.1218192,5,0
3.3402431,5,0
3.5142816,5,0
3.6873273,5,0
3.8599003,5,0
4.0804213,5,0
4.2550364,4.99511241446725,0
4.4274757,5,0
4.600653,5,0
4.7749744,5,0
4.946921,5,0
5.1211134,5,0
5.2927626,5,0
5.4664341,5,0
5.638878,4.99511241446725,0
5.8111311,4.99511241446725,0
5.9849254,4.99511241446725,0
6.1600559,4.99511241446725,0
6.3787518,4.99511241446725,0
6.5490468,4.99511241446725,0
6.7220805,4.99511241446725,0
6.8956457,4.99511241446725,0
7.070402,4.99022482893451,0
7.2408836,4.99022482893451,0
7.4124483,4.99511241446725,0
7.5880114,4.99511241446725,0
7.7614693,4.99511241446725,0
7.9339783,4.99022482893451,0
8.1074771,4.99022482893451,0
8.2823444,4.99511241446725,0
8.4542813,4.99022482893451,0
8.6241431,4.99511241446725,0
8.7966697,4.99022482893451,0
8.9712851,4.99511241446725,0
9.1437858,4.99022482893451,0
9.3176447,4.99022482893451,0
9.4899443,4.99511241446725,0
9.6624876,4.99511241446725,0
9.8349514,4.99511241446725,0
10.0083321,4.99511241446725,0
